fileid,citation,y_dev,scrutiny_score
CB-413|601-Broadrick_v._Okla..pickle,413|601,3,0.9939311441452645
CB-415|566-SMITH_v._GOGUEN.pickle,415|566,3,0.292371421352571
CB-415|724-Storer_v._Brown.pickle,415|724,3,1.6138258268967558
CB-415|767-Am._Party_of_Tex._v._White.pickle,415|767,3,1.3844890507931897
CB-416|134-Arnett_v._Kennedy.pickle,416|134,3,0.3280595350392344
CB-419|215-American_Radio_Ass'n_v._Mobile_S.S._Ass'n.pickle,419|215,3,0.793241713390294
CB-419|477-Cousins_v._Wigoda.pickle,419|477,3,0.6814512188182614
CB-427|160-Runyon_v._McCrary.pickle,427|160,3,0.3767735551267603
CB-427|539-Neb._Press_Ass'n_v._Stuart.pickle,427|539,3,0.7240367039002685
CB-429|274-Mt._Healthy_City_Sch._Dist._Bd._of_Educ._v._Doyle.pickle,429|274,3,1.031299250933144
CB-433|425-Nixon_v._Adm'r_of_General_Servs..pickle,433|425,3,-0.8379262086571059
CB-433|562-Zacchini_v._Scripps-Howard_Broadcasting_Co..pickle,433|562,3,0.44472947980463656
CB-435|829-Landmark_Communications_v._Va..pickle,435|829,3,0.7611843081173715
"CB-438|1-Houchins_v._KQED,_Inc..pickle",438|1,3,-0.21448212893949303
CB-441|153-Herbert_v._Lando.pickle,441|153,3,0.23905937430870397
CB-442|289-Babbitt_v._UFW_Nat'l_Union.pickle,442|289,3,1.4851385765728693
CB-443|97-Smith_v._Daily_Mail_Pub._Co..pickle,443|97,3,0.8952080979643141
CB-448|555-Richmond_Newspapers_v._Va..pickle,448|555,3,0.9304791711932838
CB-450|107-Democratic_Party_of_United_States_v._Wis..pickle,450|107,3,0.7029341460130578
CB-453|280-Haig_v._Agee.pickle,453|280,3,0.07421563128735195
"CB-453|490-Metromedia,_Inc._v._City_of_San_Diego.pickle",453|490,3,-1.362731320433432
CB-454|290-Citizens_Against_Rent_Control_Coalition_for_Fair_Hous._v._Berkeley.pickle,454|290,3,1.6420361551904241
CB-456|45-Brown_v._Hartlage.pickle,456|45,3,1.0978284340842734
CB-457|957-Clements_v._Fashing.pickle,457|957,3,1.390214294572068
CB-459|197-Fed._Election_Comm'n_v._Nat'l_Right_to_Work_Comm..pickle,459|197,3,1.2869827854928881
CB-460|575-Minneapolis_Star_&_Tribune_Co._v._Minn._Comm'r_of_Revenue.pickle,460|575,3,-0.012316217731591568
CB-460|780-Anderson_v._Celebrezze.pickle,460|780,3,1.1272435240601775
CB-461|731-Bill_Johnson's_Rests._v._NLRB.pickle,461|731,3,0.2390311155567296
CB-466|435-Ellis_v._Bhd._of_Ry..pickle,466|435,3,1.5143975832477468
CB-466|485-Bose_Corp._v._Consumers_Union.pickle,466|485,3,0.3838195576602278
CB-472|479-McDonald_v._Smith.pickle,472|479,3,0.24719993650856684
CB-472|749-Dun_&_Bradstreet_v._Greenmoss_Builders.pickle,472|749,3,0.6960337326008285
CB-473|305-Walters_v._Nat'l_Ass'n_of_Radiation_Survivors.pickle,473|305,3,0.5828206700529448
"CB-477|242-Anderson_v._Liberty_Lobby,_Inc..pickle",477|242,3,0.4226726320984445
CB-478|1-Press-Enterprise_Co._v._Superior_Court.pickle,478|1,3,0.22445317377997387
CB-479|208-Tashjian_v._Republican_Party.pickle,479|208,3,1.41817973164244
"CB-479|238-Fed._Election_Com._v._Mass._Citizens_for_Life,_Inc..pickle",479|238,3,1.4923634698852364
"CB-481|221-Arkansas_Writers'_Project,_Inc._v._Ragland.pickle",481|221,3,0.6730939364425491
CB-481|465-Meese_v._Keene.pickle,481|465,3,-0.3674662099671542
CB-482|451-Houston_v._Hill.pickle,482|451,3,-0.3723082592134507
CB-482|569-Bd._of_Airport_Comm'Rs_v._Jews_for_Jesus.pickle,482|569,3,-0.23082456052319852
CB-485|46-Hustler_Magazine_v._Falwell.pickle,485|46,3,0.5922240895397175
CB-486|414-Meyer_v._Grant.pickle,486|414,3,1.243856646348098
CB-486|750-Lakewood_v._Plain_Dealer_Pub._Co..pickle,486|750,3,-0.3515150766781126
CB-491|397-Tex._v._Johnson.pickle,491|397,3,1.1624156348718946
CB-491|657-Harte-Hanks_Communications_v._Connaughton.pickle,491|657,3,0.5107216385386281
CB-494|624-Butterworth_v._Smith.pickle,494|624,3,0.8417260405882291
CB-496|1-Keller_v._State_Bar_of_Cal..pickle,496|1,3,1.3062896035783955
CB-497|62-Rutan_v._Republican_Party.pickle,497|62,3,1.180818935224741
CB-497|720-United_States_v._Kokinda.pickle,497|720,3,-0.8878222959920243
CB-501|663-Cohen_v._Cowles_Media_Co..pickle,501|663,3,0.5595122520662416
"CB-502|105-Simon_&_Schuster,_Inc._v._Members_of_the_N.Y._State_Crime_Victims_Bd..pickle",502|105,3,0.738889200066307
CB-502|279-Norman_v._Reed.pickle,502|279,3,1.196788630520972
CB-505|123-Forsyth_County_v._Nationalist_Movement.pickle,505|123,3,-0.6140811444797009
CB-505|377-R._A._V._v._St._Paul.pickle,505|377,3,-1.0869447784126025
CB-511|661-Waters_v._Churchill.pickle,511|661,3,0.5508803644467641
CB-512|43-City_of_Ladue_v._Gilleo.pickle,512|43,3,-0.16524958716335394
CB-512|622-Turner_Broad._Sys._v._FCC.pickle,512|622,3,-0.3243831901289404
CB-514|334-McIntyre_v._Ohio_Elections_Comm'n.pickle,514|334,3,0.7524061406858767
CB-515|557-Hurley_v._Irish-American_Gay.pickle,515|557,3,0.49237585637919146
CB-518|604-Colo._Republican_Fed._Campaign_Comm._v._Fec.pickle,518|604,3,1.3670214311048063
CB-518|668-Bd._of_County_Comm'rs_v._Umbehr.pickle,518|668,3,1.2810707785225195
CB-518|727-Denver_Area_Educ._Telcoms._Consortium_v._Fcc.pickle,518|727,3,-1.24897551499256
CB-520|180-Turner_Broad._Sys._v._Fcc.pickle,520|180,3,-0.6956005856782235
CN-408|564-Bd._of_Regents_v._Roth.pickle,408|564,2,0.4301145273662342
CN-408|593-Perry_v._Sindermann.pickle,408|593,2,0.6764868449802686
CN-418|539-Wolff_v._McDonnell.pickle,418|539,2,-0.18986406500622072
CN-425|610-Hynes_v._Mayor_&_Council_of_Oradell.pickle,425|610,2,-0.5181681181096635
CN-431|606-United_States_v._Ramsey.pickle,431|606,2,-1.009277344710359
CN-452|640-Heffron_v._Int'l_Soc._for_Krishna_Consciousness.pickle,452|640,2,0.06386434028794548
CN-468|609-Roberts_v._United_States_Jaycees.pickle,468|609,2,0.43708456653055705
CN-481|537-Board_of_Dirs._of_Rotary_Int'l_v._Rotary_Club_of_Duarte.pickle,481|537,2,0.6587721374771774
CN-487|1-N.Y._State_Club_Ass'n_v._City_of_New_York.pickle,487|1,2,0.7704328772872783
CN-487|474-Frisby_v._Schultz.pickle,487|474,2,-0.32891843171355917
CN-491|781-Ward_v._Rock_Against_Racism.pickle,491|781,2,-0.011402717543530484
LP-409|109-Cal._v._La_Rue.pickle,409|109,1,-0.5264083807779038
LP-413|115-Kaplan_v._California.pickle,413|115,1,-1.9766923094238762
LP-413|139-United_States_v._Orito.pickle,413|139,1,-2.097462725814821
LP-413|483-Heller_v._New_York.pickle,413|483,1,-1.8688214931515423
LP-413|496-Roaden_v._Ky..pickle,413|496,1,-1.707585323957893
LP-417|817-Pell_v._Procunier.pickle,417|817,1,-0.38545983664603267
LP-417|843-Saxbe_v._Wash._Post_Co..pickle,417|843,1,-0.8396773087523547
LP-418|153-Jenkins_v._Georgia.pickle,418|153,1,-1.9356260935131095
LP-418|323-Gertz_v._Robert_Welch.pickle,418|323,1,0.8499558000952556
LP-418|87-Hamling_v._United_States.pickle,418|87,1,-1.8194231551274442
LP-419|245-Cantrell_v._Forest_City_Pub._Co..pickle,419|245,1,0.6793717531928959
LP-424|507-Hudgens_v._NLRB.pickle,424|507,1,-0.07037432269579838
